"","dE","alphaB","powerwo","powerwFix","powerwFixdiff","powerwo_orig"
"298",-0.03,0.00866903183701812,0.547972631161479,0.54820279332478,0.000230162163300851,0.705413902442457
"299",-0.02,0.00917053715920756,0.556199508054667,0.556301026687953,0.000101518633286335,0.705413902442457
"300",-0.01,0.00967030754342862,0.563992722339533,0.563703889339714,-0.000288832999819411,0.705413902442457
"301",0,0.0101937162264964,0.571761165063695,0.571754274053471,-6.89101022388616e-06,0.705413902442457
"302",0.01,0.0107416672854385,0.57950189239687,0.579774901412164,0.00027300901529459,0.705413902442457
"303",0.02,0.0113459910101788,0.587616884264553,0.587098234761692,-0.000518649502860513,0.705413902442457
"304",0.03,0.011947247333731,0.595291638662793,0.595052807513803,-0.000238831148990482,0.705413902442457
"305",0.04,0.0125759465282693,0.602929903551784,0.602968292354262,3.83888024770851e-05,0.705413902442457
"306",0.05,0.0132330845441241,0.610528885160771,0.610841579911404,0.000312694750632669,0.705413902442457
"307",0.06,0.0139196796786418,0.618085834667151,0.618019078724913,-6.67559422384834e-05,0.705413902442457
"308",0.07,0.0146753789277531,0.625992141378023,0.625802989228766,-0.000189152149257188,0.705413902442457
"309",0.08,0.0154257223527402,0.633454408512732,0.633535942484581,8.15339718486241e-05,0.705413902442457
"310",0.09,0.0162087671533037,0.640866560891073,0.641215052060907,0.000348491169834597,0.705413902442457
"311",0.1,0.0170256195361364,0.648226061289919,0.648204524827057,-2.15364628620707e-05,0.705413902442457
"312",0.11,0.0179232267707538,0.655913298754859,0.655772606090223,-0.000140692664636455,0.705413902442457
"313",0.12,0.0188130268808654,0.663157027346833,0.663278807708249,0.00012178036141508,0.705413902442457
"314",0.13,0.0197401380746711,0.67034073383878,0.67010289864263,-0.000237835196149838,0.705413902442457
"315",0.14,0.020705747809545,0.677462134751184,0.67748325477418,2.11200229962571e-05,0.705413902442457
"316",0.15,0.0217650964270894,0.68488860131958,0.684794320976414,-9.42803431659422e-05,0.705413902442457
"317",0.16,0.0228135278418401,0.691875248741175,0.692033712134207,0.000158463393031272,0.705413902442457
"318",0.17,0.0239041949993663,0.698793050235137,0.698604888630876,-0.000188161604261161,0.705413902442457
"319",0.18,0.0250383564640153,0.70564001052783,0.70570054112216,6.05305943306433e-05,0.705413902442457
"320",0.19,0.0262172863571219,0.712414209795837,0.71271804438608,0.000303834590243413,0.705413902442457
"321",0.2,0.0275080469077481,0.71946431500269,0.719080352830361,-0.000383962172329166,0.705413902442457
"322",0.21,0.0287829226077144,0.726083474877304,0.725942421969081,-0.000141052908222972,0.705413902442457
"323",0.22,0.0301065426523112,0.732624494296434,0.732720621263225,9.61269667909548e-05,0.705413902442457
"324",0.23,0.0314802343350928,0.739085772638427,0.739413169454987,0.000327396816559133,0.705413902442457
"325",0.24,0.0329817902157079,0.745799302501521,0.745471320340168,-0.000327982161352769,0.705413902442457
"326",0.25,0.0344624614773064,0.752092232382191,0.751995068311871,-9.71640703192334e-05,0.705413902442457
